mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
b sai sudharsan,ranji_trophy,tamil nadu,0,3,4,7,0.5714285714285714
ayush mhatre,col_c_k_nayudu,mumbai,1,4,8,13,0.5384615384615384
ayush mhatre,syed_mushtaq_ali_trophy,mumbai,1,4,8,13,0.5384615384615384
ayush mhatre,ranji_trophy,mumbai,1,4,8,13,0.5384615384615384
rinku singh,ranji_trophy,uttar pradesh,0,1,1,2,0.5
sam konstas,domestic_one_day,nsw,0,1,1,2,0.5
sachin baby,ranji_trophy,kerala,0,1,1,2,0.5
rinku singh,syed_mushtaq_ali_trophy,uttar pradesh,0,1,1,2,0.5
priyansh arya,syed_mushtaq_ali_trophy,delhi,1,2,5,8,0.5
sachin baby,syed_mushtaq_ali_trophy,kerala,0,1,1,2,0.5
ishant sharma,syed_mushtaq_ali_trophy,delhi,0,2,2,4,0.5
ishant sharma,ranji_trophy,delhi,0,2,2,4,0.5
shardul thakur,ranji_trophy,mumbai,0,2,2,4,0.5
sam konstas,second_xi,nsw,0,1,1,2,0.5
shashank singh,syed_mushtaq_ali_trophy,chhattisgarh,0,3,3,6,0.5
sam konstas,sheffield_shield,nsw,0,1,1,2,0.5
priyansh arya,col_c_k_nayudu,delhi,1,2,5,8,0.5
shardul thakur,syed_mushtaq_ali_trophy,mumbai,0,2,2,4,0.5
harshdeep singh,syed_mushtaq_ali_trophy,punjab,0,2,2,4,0.5
rebi,col_c_k_nayudu,arunachal pradesh,0,1,1,2,0.5
harshdeep singh,col_c_k_nayudu,punjab,0,2,2,4,0.5
shashank singh,ranji_trophy,chhattisgarh,0,3,3,6,0.5
robin minz,syed_mushtaq_ali_trophy,jharkhand,0,1,1,2,0.5
sarfaraz,syed_mushtaq_ali_trophy,mizoram,0,1,1,2,0.5
abdul samad,syed_mushtaq_ali_trophy,j  k,0,2,2,4,0.5
varun,syed_mushtaq_ali_trophy,tamil nadu,1,4,7,12,0.5
naman dhir,ranji_trophy,punjab,0,2,2,4,0.5
naman dhir,syed_mushtaq_ali_trophy,punjab,0,2,2,4,0.5
abdul samad,ranji_trophy,j  k,0,2,2,4,0.5
varun,ranji_trophy,hyderabad,1,4,7,12,0.5
varun,syed_mushtaq_ali_trophy,hyderabad,1,4,7,12,0.5
mitch marsh,sheffield_shield,wa,0,1,1,2,0.5
prem,ranji_trophy,pondicherry,2,12,16,30,0.4666666666666667
prem,syed_mushtaq_ali_trophy,pondicherry,2,12,16,30,0.4666666666666667
manish,col_c_k_nayudu,meghalaya,1,3,5,9,0.4444444444444444
nitish rana,ranji_trophy,uttar pradesh,1,6,7,14,0.42857142857142855
nitish rana,syed_mushtaq_ali_trophy,uttar pradesh,1,6,7,14,0.42857142857142855
sachin,syed_mushtaq_ali_trophy,mizoram,3,24,25,52,0.4230769230769231
sachin,ranji_trophy,mizoram,3,24,25,52,0.4230769230769231
sachin,col_c_k_nayudu,mizoram,3,24,25,52,0.4230769230769231
sachin,col_c_k_nayudu,meghalaya,3,24,25,52,0.4230769230769231
yuvraj,syed_mushtaq_ali_trophy,railways,0,3,2,5,0.4
yuvraj,ranji_trophy,railways,0,3,2,5,0.4
yuzvendra chahal,syed_mushtaq_ali_trophy,haryana,1,1,3,5,0.4
